Group,Condition,Subject_i,Subject_j,Window_i,Window_j,Distance,Subject_ij
high,ROE,02,05,9,9,9.807992363484058,"('02', '05')"
high,ROE,02,06,9,9,6.968769049399623,"('02', '06')"
high,ROE,02,07,9,9,6.514487572315618,"('02', '07')"
high,ROE,02,08,9,9,6.67031480656699,"('02', '08')"
high,ROE,02,09,9,9,6.283460695733518,"('02', '09')"
high,ROE,02,10,9,9,8.561541204571212,"('02', '10')"
high,ROE,02,11,9,9,7.6532182778049975,"('02', '11')"
high,ROE,02,13,9,9,7.4604131042620345,"('02', '13')"
high,ROE,02,14,9,9,9.487511610483532,"('02', '14')"
high,ROE,02,15,9,9,8.172722985417671,"('02', '15')"
high,ROE,02,16,9,9,9.157177766178451,"('02', '16')"
high,ROE,02,01,10,10,7.293224537309899,"('02', '01')"
high,ROE,02,02,10,10,0.0,"('02', '02')"
high,ROE,02,03,10,10,6.134465534426009,"('02', '03')"
high,ROE,02,04,10,10,7.242337344703636,"('02', '04')"
high,ROE,02,05,10,10,7.314517204127368,"('02', '05')"
high,ROE,02,06,10,10,4.607111026344763,"('02', '06')"
high,ROE,02,07,10,10,5.943170353867237,"('02', '07')"
high,ROE,02,08,10,10,6.933408618279893,"('02', '08')"
high,ROE,02,09,10,10,6.494837302610355,"('02', '09')"
high,ROE,02,10,10,10,8.281821932508453,"('02', '10')"
high,ROE,02,11,10,10,7.083365377079374,"('02', '11')"
high,ROE,02,13,10,10,7.440911581737994,"('02', '13')"
high,ROE,02,14,10,10,8.588000326399815,"('02', '14')"
high,ROE,02,15,10,10,6.755970795829366,"('02', '15')"
high,ROE,02,16,10,10,8.654895961063486,"('02', '16')"
high,ROE,02,01,11,11,9.693616610410842,"('02', '01')"
high,ROE,02,02,11,11,0.0,"('02', '02')"
high,ROE,02,03,11,11,7.662906311368788,"('02', '03')"
high,ROE,02,04,11,11,9.223786771035622,"('02', '04')"
high,ROE,02,05,11,11,9.880728729555237,"('02', '05')"
high,ROE,02,06,11,11,6.88796924083566,"('02', '06')"
high,ROE,02,07,11,11,8.041115076318116,"('02', '07')"
high,ROE,02,08,11,11,6.310438568209928,"('02', '08')"
high,ROE,02,09,11,11,7.767733207669921,"('02', '09')"
high,ROE,02,10,11,11,9.88645669567169,"('02', '10')"
